Phrase ID,Korean,Japanese (Intent)
"p1","너무 보고싶어","すごく会いたいよ。"
"p2","우리 팬들이 항상 최고야","ファンの皆さんがいつも最高です。"
"p3","밥 잘 챙겨 먹어","ご飯しっかり食べてね！"
"p4","이번 앨범 진짜 열심히 준비했어요","今回のアルバム、本当に一生懸命準備しました。"
"p5","조금만 더 기다려주세요","もう少しだけ待っててね。"
"p6","잘 잤어?","よく眠れましたか？"
"p7","오늘 뭐해?","今日は何してるの？"
"p8","힘내! 할 수 있어","頑張って！できるよ。"
"p9","건강 조심해","健康には気をつけてね。"
"p10","뮤비 봤어?","MV見た？"
"p11","사랑해","愛してるよ。"
"p12","오늘 날씨가 추우니까 따뜻하게 입어","今日は寒いから暖かくしてね。"
"p13","항상 고마워","いつもありがとう。"
"p14","내일 봐요!","また明日ね！"
"p15","한국에 언제 와요?","韓国にはいつ来るの？"
"p16","콘서트 기대돼요","コンサートが待ち遠しいです。"
"p17","좋은 꿈 꿔","良い夢見てね。"
"p18","지금 연습하고 있어요","今、練習中だよ。"
"p19","아프지 마","体調崩さないでね。"
"p20","밥은 먹었어?","ご飯食べた？"
