Phrase ID,Korean,Japanese (Intent)
"p1","너무 멋져요","かっこよすぎます。"
"p2","진짜 대박이야","マジでやばい。"
"p3","노래가 좋아요","歌がいいです。"
"p4","춤 잘 춰요","ダンスが上手です。"
"p5","오늘 최고예요","今日最高です。"
"p6","언제 컴백해요?","いつカムバックしますか？"
"p7","표 샀어요?","チケット買いましたか？"
"p8","팬미팅 가고 싶어","ペンミに行きたい。"
"p9","많이 기다렸어요","たくさん待ちました。"
"p10","라이브 보고 있어","ライブ見てるよ。"
"p11","너무 귀여워","可愛すぎる。"
"p12","사진 봤어?","写真見た？"
"p13","항상 응원해요","いつも応援しています。"
"p14","벌써 끝났어?","もう終わったの？"
"p15","목소리 정말 좋아","声が本当にいい。"
"p16","완전 감동이야","マジで感動。"
"p17","앨범 새로 샀어","アルバム新しく買ったよ。"
"p18","잠을 못 잤어","寝られなかったよ。"
"p19","누구 팬이에요?","誰のファンですか？"
"p20","머리 색깔 예뻐요","髪色が綺麗ですね。"
"p21","유나 파트 좋아요","ユナのパートがいいです。"
"p22","센터 누구예요?","センターは誰ですか？"
"p23","지호 진짜 부러워","ジホが本当に羨ましい。"
"p24","유나 언니 예뻐요","ユナお姉ちゃん綺麗です。"
"p25","걸그룹 좋아해요?","ガールズグループ好きですか？"
"p26","신곡 들었어요?","新曲聴きましたか？"
"p27","뮤비 공개됐어","MVが公開されたよ。"
"p28","엔딩 요정 누구야?","エンディング妖精は誰？"
"p29","민지 누나 같이 가요","ミンジ姉さん一緒に行きましょう。"
"p30","샘도 팬이야?","サムもファンなの？"
"p31","포카 교환할까?","トレカ交換しようか？"
"p32","최애가 누구예요?","推しは誰ですか？"
"p33","지호 알바 가야 돼","ジホはバイトに行かなきゃ。"
"p34","이번 콘셉트 최고야","今回のコンセプト最高だよ。"
"p35","유나 직캠 떴어","ユナのチッケム出たよ。"
"p36","팬싸인회 언제야?","サイン会いつ？"
"p37","응원법 외웠어?","掛け声覚えた？"
"p38","민지 누나가 표 줬어","ミンジ姉さんがチケットをくれた。"
"p39","유나 메시지 왔어","ユナからメッセージ来たよ。"
"p40","다음 주 컴백이야","来週カムバックだよ。"
"p41","음악 방송 봤어요?","音楽番組見ましたか？"
"p42","의상 예쁘다","衣装が可愛い。"
"p43","가사 외우고 있어","歌詞を覚えているよ。"
"p44","안무 영상 떴어요","振り付け動画が出ました。"
"p45","이번 노래 중독성 있어","今回の歌、中毒性がある。"
"p46","막내 너무 귀엽지?","マンネすごく可愛くない？"
"p47","음원 순위 올랐어","音源ランキング上がったよ。"
"p48","방송국에 사람 많아","放送局に人が多いよ。"
"p49","밤새 스트리밍 했어","徹夜でスミンしたよ。"
"p50","나도 데려가","私も連れて行って。"
"p51","메인 보컬 최고야","メインボーカル最高だよ。"
"p52","컴백 무대 기대돼","カムバックステージ楽しみ。"
"p53","차애 누구야?","2番目の推しは誰？"
"p54","입덕 직캠 봤어?","オタク入門チッケム見た？"
"p55","공식 굿즈 샀어요","公式グッズ買いました。"
"p56","티켓팅 성공했어요?","チケッティング成功しましたか？"
"p57","서버 터졌어","サーバーが落ちた。"
"p58","스밍 돌리고 자야지","スミン回して寝なきゃ。"
"p59","응원봉 챙겼어?","ペンライト持った？"
"p60","오늘 방송 꼭 봐","今日の放送絶対見てね。"
"p61","첫 1위 축하해!","初1位おめでとう！"
"p62","스케줄 너무 바빠","スケジュールが忙しすぎる。"
"p63","헤어 스타일 바꿨네","ヘアスタイル変えたね。"
"p64","퇴근길 사진 봤어?","退勤の時の写真見た？"
"p65","어제 라방 했어?","昨日ライブ放送した？"
"p66","나도 가고 싶었는데","私も行きたかったのに。"
"p67","자리가 안 보여","席が見えない。"
"p68","카메라 찾고 있어","カメラを探しているよ。"
"p69","이 노래 눈물 나","この歌、涙が出る。"
"p70","너무 떨려요","すごく緊張します。"
"p71","팬클럽 가입 시기야","ファンクラブ加入時期だよ。"
"p72","사인회 당첨됐어요!","サイン会当選しました！"
"p73","편지 썼어요","手紙を書きました。"
"p74","유나 방송 시간 언제야?","ユナの放送時間いつ？"
"p75","지호는 또 영상 봐","ジホはまた動画見てる。"
"p76","민지 언니가 알려줬어","ミンジお姉さんが教えてくれた。"
"p77","이번 안무 어려워","今回の振り付け難しい。"
"p78","얼굴 천재야","顔天才だよ。"
"p79","같이 덕질하자","一緒に推し活しよう。"
"p80","팬카페에 글 남겼어","ファンカフェに書き込みしたよ。"
"p81","티저 떴어요!","ティーザー出ました！"
"p82","조회수 천만 넘어","再生回数1000万超えたよ。"
"p83","멜로디가 너무 슬퍼","メロディがとても悲しい。"
"p84","리더 언니 멋있어","リーダーのお姉さんかっこいい。"
"p85","다음 곡 기대돼요","次の曲が楽しみです。"
"p86","샘 표정 봐","サムの顔見て。"
"p87","왜 벌써 끝나?","どうしてもう終わるの？"
"p88","무대 위에서 빛나","ステージの上で輝いてる。"
"p89","콘서트 갈 사람?","コンサート行く人？"
"p90","혼자서 못 가","一人じゃ行けない。"
"p91","지금 앨범깡 해","今アルバム開封してるよ。"
"p92","이 노래 추천해","この歌おすすめだよ。"
"p93","매일 듣고 있어","毎日聞いてるよ。"
"p94","지호 울지 마","ジホ、泣かないで。"
"p95","역대급 무대야","歴代級のステージだよ。"
"p96","목이 다 쉬었어","声がすっかり枯れたよ。"
"p97","막방이라니 아쉬워","マッパンだなんて寂しい。"
"p98","다음 주에 또 봐요","来週また会いましょう。"
"p99","집업 후드 샀어","ジップアップパーカー買ったよ。"
"p100","영원히 응원할게","永遠に応援するね。"
