Phrase ID,Korean,Japanese (Intent)
"p1","안녕하세요","こんにちは。"
"p2","감사합니다","ありがとうございます。"
"p3","네, 알겠어요","はい、分かりました。"
"p4","아니요, 괜찮아요","いいえ、大丈夫です。"
"p5","잠깐만요","ちょっと待ってください。"
"p6","죄송합니다","申し訳ございません。"
"p7","좋아요!","いいね！"
"p8","배고파요","お腹すいた。"
"p9","물 주세요","お水ください。"
"p10","이거 뭐예요?","これ何ですか？"
"p11","맛있어요!","美味しい！"
"p12","어디예요?","どこですか？"
"p13","또 만나요","また会いましょう。"
"p14","진짜요?","本当ですか？"
"p15","너무 비싸요","高すぎます。"
"p16","피곤해요","疲れました。"
"p17","잘 먹겠습니다","いただきます。"
"p18","여기 앉아도 돼요?","ここに座ってもいいですか？"
"p19","천천히 말해 주세요","ゆっくり話してください。"
"p20","오늘 날씨 좋다","今日はいい天気だ。"
"p21","집에 가고 싶어","家に帰りたい。"
"p22","커피 한 잔","コーヒー一杯。"
"p23","기분이 좋아요","気分がいいです。"
"p24","엄마한테 전화해","お母さんに電話して。"
"p25","빨리 오세요","早く来てください。"
"p26","시간 없어요","時間がないです。"
"p27","그거 싫어","それ嫌だ。"
"p28","이름이 뭐예요?","お名前は何ですか？"
"p29","많이 먹어","たくさん食べてね。"
"p30","내일 학교 가야 돼","明日学校に行かないと。"
"p31","어제 뭐 했어?","昨日何した？"
"p32","친구 만나러 가요","友達に会いに行きます。"
"p33","아이스 아메리카노 하나요","アイスアメリカーノ一つください。"
"p34","지금 바빠요","今忙しいです。"
"p35","얼마예요?","いくらですか？"
"p36","더워 죽겠어","暑くて死にそう。"
"p37","화장실 어디예요?","トイレはどこですか？"
"p38","아빠가 요리해요","お父さんが料理します。"
"p39","그래서 늦었어요","だから遅れました。"
"p40","동생이 귀여워요","弟（妹）が可愛いです。"
"p41","언제 와요?","いつ来ますか？"
"p42","머리가 아파요","頭が痛いです。"
"p43","뭐 먹을래?","何食べる？"
"p44","조금만 기다려요","少しだけ待ってね。"
"p45","고기 좋아해요","お肉が好きです。"
"p46","비가 와요","雨が降っています。"
"p47","이 사람 누구예요?","この人は誰ですか？"
"p48","왜 그래?","どうしたの？"
"p49","문 닫아 주세요","ドアを閉めてください。"
"p50","나도 갈래","私も行きたい。"
"p51","눈이 와요","雪が降っています。"
"p52","전화번호 알려 주세요","電話番号を教えてください。"
"p53","카드로 할게요","カードで払います。"
"p54","손 씻어","手を洗って。"
"p55","어떻게 해요?","どうしますか？"
"p56","밖에 나가자","外に出よう。"
"p57","배 불러요","お腹いっぱいです。"
"p58","선생님 안녕하세요","先生、こんにちは。"
"p59","그냥 보고 있어요","見てるだけです。"
"p60","작아요","小さいです。"
"p61","이거 너무 커요","これ大きすぎます。"
"p62","택시 타요","タクシー乗りましょう。"
"p63","무슨 뜻이에요?","どういう意味ですか？"
"p64","같이 가요","一緒に行きましょう。"
"p65","돈이 없어","お金がないよ。"
"p66","하지만 재밌어요","でも楽しいですよ。"
"p67","오빠 보고 싶어","お兄ちゃんに会いたい。"
"p68","이 옷 예뻐요","この服かわいい。"
"p69","여기서 가까워요","ここから近いです。"
"p70","무서워요","怖いです。"
"p71","사진 찍어 주세요","写真を撮ってください。"
"p72","새로 샀어요","新しく買いました。"
"p73","저기 봐요","あそこ見て。"
"p74","잘 모르겠어요","よく分かりません。"
"p75","아침에 일어났어","朝起きたよ。"
"p76","걱정하지 마요","心配しないで。"
"p77","오래 기다렸어요?","長く待ちましたか？"
"p78","저녁 같이 먹어요","夕飯一緒に食べましょう。"
"p79","전화 받아","電話出て。"
"p80","늦어서 미안해","遅れてごめんね。"
"p81","그 영화 봤어요?","あの映画見ましたか？"
"p82","뭐가 달라요?","何が違うんですか？"
"p83","노래 불러요","歌を歌います。"
"p84","길이 막혀요","道が渋滞しています。"
"p85","전 학생이에요","私は学生です。"
"p86","다 왔어요","もう着きました。"
"p87","와! 진짜 맛있다","わぁ！本当に美味しい！"
"p88","숙제 했어?","宿題した？"
"p89","여기 자리 있어요?","ここ席ありますか？"
"p90","매워요?","辛いですか？"
"p91","하나 더 주세요","もう一つください。"
"p92","어디 가요?","どこ行くんですか？"
"p93","정말 감사해요","本当にありがとうございます。"
"p94","추워요 오늘","今日は寒い。"
"p95","책 읽고 있어","本読んでるよ。"
"p96","언니 도와줘","お姉ちゃん助けて。"
