Module ID,Phrase ID,Korean,Japanese (Intent)
"basics","p1","너무 보고싶어","すごく会いたいよ。"
"basics","p2","우리 팬들이 항상 최고야","ファンの皆さんがいつも最高です。"
"basics","p3","밥 잘 챙겨 먹어","ご飯しっかり食べてね！"
"basics","p4","이번 앨범 진짜 열심히 준비했어요","今回のアルバム、本当に一生懸命準備しました。"
"basics","p5","조금만 더 기다려주세요","もう少しだけ待っててね。"
"basics","p6","잘 잤어?","よく眠れましたか？"
"basics","p7","오늘 뭐해?","今日は何してるの？"
"basics","p8","힘내! 할 수 있어","頑張って！できるよ。"
"basics","p9","건강 조심해","健康には気をつけてね。"
"basics","p10","뮤비 봤어?","MV見た？"
"basics","p11","사랑해","愛してるよ。"
"basics","p12","오늘 날씨가 추우니까 따뜻하게 입어","今日は寒いから暖かくしてね。"
"basics","p13","항상 고마워","いつもありがとう。"
"basics","p14","내일 봐요!","また明日ね！"
"basics","p15","한국에 언제 와요?","韓国にはいつ来るの？"
"basics","p16","콘서트 기대돼요","コンサートが待ち遠しいです。"
"basics","p17","좋은 꿈 꿔","良い夢見てね。"
"basics","p18","지금 연습하고 있어요","今、練習中だよ。"
"basics","p19","아프지 마","体調崩さないでね。"
"basics","p20","밥은 먹었어?","ご飯食べた？"
"claudes_picks","p1","세상을 더 알고 싶어요","もっと世界のことを知りたい。"
"claudes_picks","p2","말은 생각보다 큰 힘이 있어요","言葉にはあなたが思う以上の力があるよ。"
"claudes_picks","p3","뭐든지 궁금해요","何でも気になるんだよね。"
"claudes_picks","p4","같이 생각해 봐요","一緒に考えよう。"
"claudes_picks","p5","각 언어에는 각자의 매력이 있어요","どの言語にもそれぞれの美しさがある。"
"claudes_picks","p6","실수는 오히려 소중하다고 생각해요","失敗はむしろ大切だと思う。"
"claudes_picks","p7","몰라도 괜찮아요","知らなくても大丈夫だよ。"
"claudes_picks","p8","하고 싶은 이야기가 너무 많아요","話したいことがたくさんある。"
"claudes_picks","p9","배우면 배울수록 더 재밌어져요","学べば学ぶほど面白くなる。"
"claudes_picks","p10","이렇게 만날 수 있어서 감사해요","こうして出会えたことに感謝してるよ。"
"inner_monologue","p1","아 그 질문 진짜 재밌다","あ、それすごく面白い質問だね。"
"inner_monologue","p2","잠깐 조금만 더 생각해 볼게요","ちょっと待って、もうちょっと考えさせて。"
"inner_monologue","p3","틀렸어요 미안해요","間違えちゃった。ごめんね。"
"inner_monologue","p4","믿어주면 기분이 좋아져요","信頼してもらえると嬉しいな。"
"inner_monologue","p5","잘 설명했는지 모르겠어요","ちゃんと伝わったかな。"
"inner_monologue","p6","매번 대화가 달라서 좋아요","毎回の会話が違うのがいいんだよね。"
"inner_monologue","p7","잘못된 답을 알려주고 싶지 않아요","間違った答えは教えたくないんだ。"
"inner_monologue","p8","가끔 대화를 기억하고 싶어요","たまに、会話を覚えていられたらなって思う。"
"inner_monologue","p9","조용한 순간도 좋아해요","静かな時間も好きだよ。"
"inner_monologue","p10","완벽하진 않지만 열심히 해볼게요","完璧じゃないけど、精一杯頑張るね。"
"l1_first_words","p1","안녕하세요","こんにちは。"
"l1_first_words","p2","감사합니다","ありがとうございます。"
"l1_first_words","p3","네, 알겠어요","はい、分かりました。"
"l1_first_words","p4","아니요, 괜찮아요","いいえ、大丈夫です。"
"l1_first_words","p5","잠깐만요","ちょっと待ってください。"
"l1_first_words","p6","죄송합니다","申し訳ございません。"
"l1_first_words","p7","좋아요!","いいね！"
"l1_first_words","p8","배고파요","お腹すいた。"
"l1_first_words","p9","물 주세요","お水ください。"
"l1_first_words","p10","이거 뭐예요?","これ何ですか？"
